phase_order,stage,substage,scope,family,method,run_label,model_or_checkpoint,roi_version,calibration,display_threshold,image_auroc,image_ap,image_f1,pixel_auroc,pixel_ap,pixel_f1,aupimo,defect_coverage_mean,pixel_weighted_coverage,display_precision,display_recall,pixels_displayed_pct,primary_metric,story_decision,source_path,notes
1,baseline,global_reference,all_categories,patchcore,PatchCore frozen ResNet average,resnet_frozen_mean,resnet_frozen,,,0.8901,0.9139,,0.9128,0.3950,,,,,,,,pixel_ap,Strong generic baseline; good guardrail but not sufficient for Casting micro-defects,reports/docs/patchcore_baseline_report.md,Global average across categories.
2,baseline,casting_resolution_sweep,Casting_class1,patchcore,PatchCore 256 ResNet18 layer2+layer3,patchcore_s256_resnet18_l23_mem100k,resnet18 layer2+layer3,,none,,0.5965,0.7283,,0.6294,0.0077,,,,,,,,pixel_ap,Initial Casting baseline fails on micro-defects,reports/docs/patchcore_baseline_report.md,Shows resizing problem.
3,baseline,casting_resolution_sweep,Casting_class1,patchcore,PatchCore 384 ResNet18 layer2+layer3,patchcore_s384_resnet18_l23_mem100k,resnet18 layer2+layer3,,none,,0.6623,0.8072,,0.7625,0.0203,,,,,,,,pixel_ap,Higher resolution improves localization,reports/docs/patchcore_baseline_report.md,
4,baseline,casting_resolution_sweep,Casting_class1,patchcore,PatchCore 512 ResNet18 layer2+layer3,patchcore_s512_resnet18_l23_mem100k,resnet18 layer2+layer3,,none,,0.6842,0.7483,,0.8327,0.0383,,,,,,,,pixel_ap,Resolution remains key,reports/docs/patchcore_baseline_report.md,
5,baseline,casting_resolution_sweep,Casting_class1,patchcore,PatchCore 1024 ResNet18 layer2+layer3,patchcore_s1024_resnet18_l23_mem100k,resnet18 layer2+layer3,,none,,0.7632,0.8400,,0.9503,0.1112,,,,,,,,pixel_ap,Native/high-res evaluation is necessary,reports/docs/patchcore_baseline_report.md,
6,baseline,casting_memory_sweep,Casting_class1,patchcore,PatchCore 1024 ResNet18 layer2+layer3 mem300k,patchcore_s1024_resnet18_l23_mem300k,resnet18 layer2+layer3,,none,,0.8070,0.8853,,0.9474,0.1083,,,,,,,,image_ap,Memory helps image-level more than pixel AP,reports/docs/patchcore_baseline_report.md,
7,baseline,casting_resnet50_legacy,Casting_class1,patchcore,PatchCore 1024 ResNet50 layer2+layer3 mem300k,patchcore_s1024_resnet50_l23_mem300k,resnet50 layer2+layer3,,none,,0.8114,0.8572,,0.9476,0.1183,,,,,,,,pixel_ap,Best PatchCore pixel AP but heavier and kept as historical baseline,reports/docs/patchcore_baseline_report.md,ResNet50 is legacy in active code.
8,baseline,anomalib,Casting_class1,patchcore,Anomalib PatchCore wide_resnet50_2,anomalib_patchcore_wrn50_image512,wide_resnet50_2 layer2+layer3,,none,,0.5855,,0.7907,0.7576,,0.1035,,,,,,,pixel_f1,External baseline underperforms because it scores full image,reports/docs/final_feature_ae_synthesis.md,F1 metrics; not AP.
9,baseline,anomalib,Casting_class1,dinomaly,Anomalib Dinomaly DINOv2,anomalib_dinomaly_vitb_image448,dinov2reg_vit_base_14,,none,,0.7522,,0.7692,0.8469,,0.0741,,,,,,,pixel_f1,DINO features help but remain below retained path,reports/docs/final_feature_ae_synthesis.md,F1 metrics; not AP.
10,baseline,anomalib_highres,Casting_class1,dinomaly,Anomalib Dinomaly high resolution,anomalib_dinomaly_vitb_image672,dinov2reg_vit_base_14,,none,,0.6228,0.6998,,0.8920,0.0319,,0.00223,,,,,,aupimo,Good pixel AUROC but very weak industrial low-FP overlap,reports/docs/final_feature_ae_synthesis.md,
11,pixel_ae,instructive_failure,Casting_class1,pixel_ae,Constrained pixel AE reconstruction,constrained_recon_checkpoint_eval,custom/constrained pixel AE,,none,,0.4956,0.7029,,0.6930,0.0181,,,,,,,,pixel_ap,Pixel AE reconstructs too well and gives weak anomaly signal,reports/tables/summary/constrained_ae_checkpoint_anomaly_test_summary.csv,
12,pixel_ae,instructive_failure,Casting_class1,pixel_ae,Constrained AE as PatchCore backbone,constrained_patchcore_checkpoint_eval,constrained AE backbone,,none,,0.6535,0.7324,,,,,,,,,,,image_ap,AE backbone does not beat frozen ResNet guardrail,reports/tables/summary/constrained_ae_checkpoint_anomaly_test_summary.csv,
